port_code,port_name,city,country
NOESP,Espevik,Espevik,Norway
NOETN,Etne,Etne,Norway
NOEVT,Evenestangen,Evenestangen,Norway
NOEVV,Eivindvik,Eivindvik,Norway
NOEYD,Eydehavn,Eydehavn,Norway
NOFAN,Farsund,Farsund,Norway
NOFAU,Fauske,Fauske,Norway
NOFAX,Fagerstrand,Fagerstrand,Norway
NOFBL,Fiskebøl,Fiskebol,Norway
NOFDE,Førde,Forde,Norway
NOFED,Fedje,Fedje,Norway
NOFFB,Finnfjordbotn,Finnfjordbotn,Norway
NOFFD,Flekkefjord,Flekkefjord,Norway
NOFIN,Finneidfjord,Finneidfjord,Norway
NOFIT,Fitjar,Fitjar,Norway
NOFJA,Fjaler,Fjaler,Norway
NOFJE,Fjell,Fjell,Norway
NOFJL,Fjelldal,Fjelldal,Norway
NOFKG,Frekhaug,Frekhaug,Norway
NOFKS,Flakstad,Flakstad,Norway
NOFLA,Flåm,Flam,Norway
NOFLM,Flem,Flem,Norway
NOFLO,Florvåg,Florvag,Norway
NOFLR,Flora,Flora,Norway
NOFLT,Flatanger,Flatanger,Norway
NOFLY,Flatøy,Flatoy,Norway
NOFND,Finneid,Finneid,Norway
NOFNE,Finnsnes,Finnsnes,Norway
NOFNN,Fonnes,Fonnes,Norway
NOFNS,Fornes,Fornes,Norway
NOFNY,Finnøy,Finnoy,Norway
NOFOA,Froan,Froan,Norway
NOFOI,Fossing,Fossing,Norway
NOFOL,Follafoss,Follafoss,Norway
NOFON,Forøy,Foroy,Norway
NOFOR,Forsand,Forsand,Norway
NOFOS,Fosnavåg,Fosnavag,Norway
NOFRA,Frøya,Froya,Norway
NOFRE,Fræena,Fraena,Norway
NOFRJ,Frei,Frei,Norway
NOFRK,Fredrikstad,Fredrikstad,Norway
NOFRN,Frogn,Frogn,Norway
NOFRO,Florø,Floro,Norway
NOFRS,Forus,Forus,Norway
NOFRT,Frosta,Frosta,Norway
NOFSD,Fjellstrand,Fjellstrand,Norway
NOFSK,Fiskåbygd - Vanylven,Fiskabygd - Vanylven,Norway
NOFSL,Forsøl,Forsol,Norway
NOFSN,Fosnes,Fosnes,Norway
NOFST,Fiskarstrand,Fiskarstrand,Norway
NOFSV,Festvåg,Festvag,Norway
NOFUS,Fusa,Fusa,Norway
NOFYS,Fjærland,Fjarland,Norway
NOGAM,Gamvik,Gamvik,Norway
NOGAU,Gaular,Gaular,Norway
NOGHV,Gunhildvågen,Gunhildvagen,Norway
NOGIK,Gismarvik,Gismarvik,Norway
NOGIL,Gildeskål,Gildeskal,Norway
NOGIS,Giske,Giske,Norway
NOGJD,Gjøsundet,Gjosundet,Norway
NOGJM,Gjemnes,Gjemnes,Norway
NOGJS,Gjesdal,Gjesdal,Norway
NOGJV,Gjesvær,Gjesvar,Norway
NOGLO,Glomfjord,Glomfjord,Norway
NOGLP,Gloppen,Gloppen,Norway
NOGOO,Godøya,Godoya,Norway
NOGOT,Grøtavær,Grotavar,Norway
NOGPN,Gaupne,Gaupne,Norway
NOGRD,Gravdal,Gravdal,Norway
NOGRF,Grovfjord,Grovfjord,Norway
NOGRP,Grip,Grip,Norway
NOGRS,Grytestranda,Grytestranda,Norway
NOGRT,Gratangen,Gratangen,Norway
NOGRV,Granvin,Granvin,Norway
NOGRY,Gryllefjord,Gryllefjord,Norway
NOGTD,Grimstad,Grimstad,Norway
NOGUD,Gudvangen,Gudvangen,Norway
NOGUL,Gulen,Gulen,Norway
NOGUR,Gursken,Gursken,Norway
NOGUT,Gutvik,Gutvik,Norway
NOHAA,Hå,Ha,Norway
NOHAD,Hadsel,Hadsel,Norway
NOHAE,Hansnes,Hansnes,Norway
NOHAL,Halden,Halden,Norway
NOHAN,Halvorshavn,Halvorshavn,Norway
NOHAR,Haram,Haram,Norway
NOHAU,Haugesund,Haugesund,Norway
NOHAV,Havøysund,Havoysund,Norway
NOHAZ,Halsnøy,Halsnoy,Norway
NOHBT,Hamnbukt - Porsanger,Hamnbukt - Porsanger,Norway
NOHEF,Herfjord,Herfjord,Norway
NOHEK,Hekkelstrand,Hekkelstrand,Norway
NOHEL,Hellvik,Hellvik,Norway
NOHEM,Håeimsvika,Haeimsvika,Norway
NOHEN,Henningsvær,Henningsvar,Norway
NOHER,Hermansverk,Hermansverk,Norway
NOHES,Hestvika,Hestvika,Norway
NOHET,Herøysundet,Heroysundet,Norway
NOHEV,Helligvær,Helligvar,Norway
NOHEY,Herøy,Heroy,Norway
NOHFL,Hammerfall,Hammerfall,Norway
NOHFT,Hammerfest,Hammerfest,Norway
NOHGR,Hegreneset,Hegreneset,Norway
NOHHA,Hufthammar,Hufthammar,Norway
NOHIT,Hitra,Hitra,Norway
